"col0","col1","col2","input_params","return_value"
"ControlFlowNode for False","xOverlap","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","dist_|pts|ref_pts|ref_val|val","True"
"ControlFlowNode for False","allNum","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","mode|wd_","False"
"ControlFlowNode for False","allNum","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","mode|wd_","True"
"ControlFlowNode for False","findNeighBour","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","json_|lctr|ref_pts|ref_txt|ref_wd_ctr","Tuple"
"ControlFlowNode for False","findValNeighBour","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","json_|lctr|ref_wd_ctr","Tuple"
"ControlFlowNode for False","isNum","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","txt","False"
"ControlFlowNode for False","isNum","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/findKeys.py:0","txt","True"
"ControlFlowNode for str","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for str","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for str","is_hdr_row_format","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|tbl_bound","False"
"ControlFlowNode for str","is_hdr_row_format","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|tbl_bound","True"
"ControlFlowNode for str","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","Tuple"
"ControlFlowNode for str","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","BinaryExpr"
"ControlFlowNode for str","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","Tuple"
"ControlFlowNode for str","findDateRange","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","BinaryExpr"
"ControlFlowNode for str","findHeaderInfo","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","col_frame_"
"ControlFlowNode for str","findHeaderInfo","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","Tuple"
"ControlFlowNode for str","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","None"
"ControlFlowNode for str","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","row_ctr"
"ControlFlowNode for str","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","None"
"ControlFlowNode for str","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","row_ctr"
"ControlFlowNode for str","findHighVarianceColumns","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|start_hdr_row_|tbl","Tuple"
"ControlFlowNode for str","returnSummary","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","Tuple"
"ControlFlowNode for str","returnSummary","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|sheet|tbl","Tuple"
"ControlFlowNode for str","createDBRec","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","mode|self|summary_D","insertRec"
"ControlFlowNode for str","createDBRec","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","mode|self|summary_D","insertRec"
"ControlFlowNode for str","returnEntireSheet","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet_name|tbl_","Tuple"
"ControlFlowNode for str","convertToPandas","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","df"
"ControlFlowNode for str","convertToPandas","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","Attribute()"
"ControlFlowNode for len","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for len","process","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:0","colNum|sheet|tbl","Tuple"
"ControlFlowNode for len","find_tables","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet","Subscript"
"ControlFlowNode for len","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","None"
"ControlFlowNode for len","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|tbl","row_ctr"
"ControlFlowNode for len","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","None"
"ControlFlowNode for len","findHdrRow","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/generateXLMetaData.py:53","self|tbl","row_ctr"
"ControlFlowNode for len","findHighVarianceColumns","/datadrive/EXPERIMENTS/SPREADSHEET/CODEQL/basic_generateXLMetaData.py:54","self|sheet|start_hdr_row_|tbl","Tuple"
